"","Fecha","Provincia","Isla","Hispitalizados","UCI - Críticas con respirador","UCI - Críticas sin respirador"
"121","02/12/2020","Las Palmas","Gran Canaria",46,17,0
"122","02/12/2020","Las Palmas","Fuerteventura",1,0,0
"123","02/12/2020","Las Palmas","Lanzarote",3,0,0
"124","02/12/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"125","02/12/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"126","02/12/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"127","03/04/2020","Santa Cruz de Tenerife","Tenerife",256,45,0
"128","03/04/2020","Las Palmas","Gran Canaria",59,39,0
"129","03/04/2020","Las Palmas","Fuerteventura",5,2,0
"130","03/04/2020","Las Palmas","Lanzarote",11,9,0
"131","03/04/2020","Santa Cruz de Tenerife","La Palma",4,5,0
"132","03/04/2020","Santa Cruz de Tenerife","El Hierro",2,0,0
"133","03/04/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"134","03/05/2020","Santa Cruz de Tenerife","Tenerife",95,26,0
"135","03/05/2020","Las Palmas","Gran Canaria",16,9,0
"136","03/05/2020","Las Palmas","Fuerteventura",0,2,0
"137","03/05/2020","Las Palmas","Lanzarote",2,3,0
"138","03/05/2020","Santa Cruz de Tenerife","La Palma",2,0,0
"139","03/05/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"140","03/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"141","03/06/2020","Santa Cruz de Tenerife","Tenerife",31,3,0
"142","03/06/2020","Las Palmas","Gran Canaria",8,2,0
"143","03/06/2020","Las Palmas","Fuerteventura",0,0,0
"144","03/06/2020","Las Palmas","Lanzarote",2,0,0
"145","03/06/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"146","03/06/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"147","03/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"148","03/07/2020","Santa Cruz de Tenerife","Tenerife",8,0,0
"149","03/07/2020","Las Palmas","Gran Canaria",0,1,0
"150","03/07/2020","Las Palmas","Fuerteventura",0,0,0
"151","03/07/2020","Las Palmas","Lanzarote",0,0,0
"152","03/07/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"153","03/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"154","03/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"155","03/08/2020","Santa Cruz de Tenerife","Tenerife",23,1,0
"156","03/08/2020","Las Palmas","Gran Canaria",5,0,0
"157","03/08/2020","Las Palmas","Fuerteventura",0,0,0
"158","03/08/2020","Las Palmas","Lanzarote",0,0,0
"159","03/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"160","03/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"161","03/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"162","03/09/2020","Santa Cruz de Tenerife","Tenerife",33,14,0
"163","03/09/2020","Las Palmas","Gran Canaria",128,37,0
"164","03/09/2020","Las Palmas","Fuerteventura",2,0,0
"165","03/09/2020","Las Palmas","Lanzarote",13,1,0
"166","03/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"167","03/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"168","03/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"169","03/10/2020","Santa Cruz de Tenerife","Tenerife",80,18,0
"170","03/10/2020","Las Palmas","Gran Canaria",113,32,0
"171","03/10/2020","Las Palmas","Fuerteventura",5,3,0
"172","03/10/2020","Las Palmas","Lanzarote",6,2,0
"173","03/10/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"174","03/10/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"175","03/10/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"176","03/11/2020","Santa Cruz de Tenerife","Tenerife",129,27,0
"177","03/11/2020","Las Palmas","Gran Canaria",52,16,0
"178","03/11/2020","Las Palmas","Fuerteventura",3,0,0
"179","03/11/2020","Las Palmas","Lanzarote",0,0,0
"180","03/11/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"181","03/11/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"182","03/11/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"183","03/12/2020","Santa Cruz de Tenerife","Tenerife",120,29,0
"184","03/12/2020","Las Palmas","Gran Canaria",44,18,0
"185","03/12/2020","Las Palmas","Fuerteventura",1,0,0
"186","03/12/2020","Las Palmas","Lanzarote",10,0,0
"187","03/12/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"188","03/12/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"189","03/12/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"190","04/04/2020","Santa Cruz de Tenerife","Tenerife",264,47,0
"191","04/04/2020","Las Palmas","Gran Canaria",61,39,0
"192","04/04/2020","Las Palmas","Fuerteventura",2,2,0
"193","04/04/2020","Las Palmas","Lanzarote",10,9,0
"194","04/04/2020","Santa Cruz de Tenerife","La Palma",3,4,0
"195","04/04/2020","Santa Cruz de Tenerife","El Hierro",2,0,0
"196","04/04/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"197","04/05/2020","Santa Cruz de Tenerife","Tenerife",102,22,0
"198","04/05/2020","Las Palmas","Gran Canaria",16,7,0
"199","04/05/2020","Las Palmas","Fuerteventura",2,1,0
"200","04/05/2020","Las Palmas","Lanzarote",3,2,0
"201","04/05/2020","Santa Cruz de Tenerife","La Palma",2,0,0
"202","04/05/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"203","04/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"204","04/06/2020","Santa Cruz de Tenerife","Tenerife",28,2,0
"205","04/06/2020","Las Palmas","Gran Canaria",7,2,0
"206","04/06/2020","Las Palmas","Fuerteventura",0,0,0
"207","04/06/2020","Las Palmas","Lanzarote",2,0,0
"208","04/06/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"209","04/06/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"210","04/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"211","04/07/2020","Santa Cruz de Tenerife","Tenerife",12,1,0
"212","04/07/2020","Las Palmas","Gran Canaria",0,1,0
"213","04/07/2020","Las Palmas","Fuerteventura",0,0,0
"214","04/07/2020","Las Palmas","Lanzarote",0,0,0
"215","04/07/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"216","04/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"217","04/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"218","04/08/2020","Santa Cruz de Tenerife","Tenerife",29,1,0
"219","04/08/2020","Las Palmas","Gran Canaria",3,0,1
"220","04/08/2020","Las Palmas","Fuerteventura",0,0,0
"221","04/08/2020","Las Palmas","Lanzarote",0,0,0
"222","04/08/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"223","04/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"224","04/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"225","04/09/2020","Santa Cruz de Tenerife","Tenerife",37,15,0
"226","04/09/2020","Las Palmas","Gran Canaria",127,36,0
"227","04/09/2020","Las Palmas","Fuerteventura",3,0,0
"228","04/09/2020","Las Palmas","Lanzarote",13,1,0
"229","04/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"230","04/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"231","04/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"232","04/10/2020","Santa Cruz de Tenerife","Tenerife",86,20,0
"233","04/10/2020","Las Palmas","Gran Canaria",129,32,0
"234","04/10/2020","Las Palmas","Fuerteventura",8,2,0
"235","04/10/2020","Las Palmas","Lanzarote",4,2,0
"236","04/10/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"237","04/10/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"238","04/10/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"239","04/11/2020","Santa Cruz de Tenerife","Tenerife",119,29,0
"240","04/11/2020","Las Palmas","Gran Canaria",49,19,0
"241","04/11/2020","Las Palmas","Fuerteventura",2,0,0
"242","04/11/2020","Las Palmas","Lanzarote",0,0,0
"243","04/11/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"244","04/11/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"245","04/11/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"246","04/12/2020","Santa Cruz de Tenerife","Tenerife",131,28,0
"247","04/12/2020","Las Palmas","Gran Canaria",44,17,0
"248","04/12/2020","Las Palmas","Fuerteventura",1,0,0
"249","04/12/2020","Las Palmas","Lanzarote",7,0,0
"250","04/12/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"251","04/12/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"252","04/12/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"253","05/04/2020","Santa Cruz de Tenerife","Tenerife",281,46,0
"254","05/04/2020","Las Palmas","Gran Canaria",68,37,0
"255","05/04/2020","Las Palmas","Fuerteventura",2,2,0
"256","05/04/2020","Las Palmas","Lanzarote",12,9,0
"257","05/04/2020","Santa Cruz de Tenerife","La Palma",4,4,0
"258","05/04/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"259","05/04/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"260","05/05/2020","Santa Cruz de Tenerife","Tenerife",105,15,0
"261","05/05/2020","Las Palmas","Gran Canaria",16,7,0
"262","05/05/2020","Las Palmas","Fuerteventura",0,1,0
"263","05/05/2020","Las Palmas","Lanzarote",3,2,0
"264","05/05/2020","Santa Cruz de Tenerife","La Palma",5,0,0
"265","05/05/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"266","05/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"267","05/06/2020","Santa Cruz de Tenerife","Tenerife",30,2,0
"268","05/06/2020","Las Palmas","Gran Canaria",2,2,0
"269","05/06/2020","Las Palmas","Fuerteventura",0,0,0
"270","05/06/2020","Las Palmas","Lanzarote",2,0,0
"271","05/06/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"272","05/06/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"273","05/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"274","05/07/2020","Santa Cruz de Tenerife","Tenerife",12,1,0
"275","05/07/2020","Las Palmas","Gran Canaria",1,1,0
"276","05/07/2020","Las Palmas","Fuerteventura",0,0,0
"277","05/07/2020","Las Palmas","Lanzarote",0,0,0
"278","05/07/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"279","05/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"280","05/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"281","05/08/2020","Santa Cruz de Tenerife","Tenerife",28,1,0
"282","05/08/2020","Las Palmas","Gran Canaria",4,0,1
"283","05/08/2020","Las Palmas","Fuerteventura",0,0,0
"284","05/08/2020","Las Palmas","Lanzarote",0,0,0
"285","05/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"286","05/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"287","05/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"288","05/09/2020","Santa Cruz de Tenerife","Tenerife",38,12,0
"289","05/09/2020","Las Palmas","Gran Canaria",134,35,0
"290","05/09/2020","Las Palmas","Fuerteventura",5,1,0
"291","05/09/2020","Las Palmas","Lanzarote",16,1,0
"292","05/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"293","05/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"294","05/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"295","05/10/2020","Santa Cruz de Tenerife","Tenerife",88,23,0
"296","05/10/2020","Las Palmas","Gran Canaria",128,33,0
"297","05/10/2020","Las Palmas","Fuerteventura",8,2,0
"298","05/10/2020","Las Palmas","Lanzarote",3,2,0
"299","05/10/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"300","05/10/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"301","05/10/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"302","05/11/2020","Santa Cruz de Tenerife","Tenerife",108,28,0
"303","05/11/2020","Las Palmas","Gran Canaria",49,22,0
"304","05/11/2020","Las Palmas","Fuerteventura",2,0,0
"305","05/11/2020","Las Palmas","Lanzarote",0,0,0
"306","05/11/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"307","05/11/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"308","05/11/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"309","05/12/2020","Santa Cruz de Tenerife","Tenerife",134,28,0
"310","05/12/2020","Las Palmas","Gran Canaria",45,18,0
"311","05/12/2020","Las Palmas","Fuerteventura",0,0,0
"312","05/12/2020","Las Palmas","Lanzarote",8,0,0
"313","05/12/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"314","05/12/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"315","05/12/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"316","06/04/2020","Santa Cruz de Tenerife","Tenerife",286,45,0
"317","06/04/2020","Las Palmas","Gran Canaria",63,36,0
"318","06/04/2020","Las Palmas","Fuerteventura",1,2,0
"319","06/04/2020","Las Palmas","Lanzarote",11,9,0
"320","06/04/2020","Santa Cruz de Tenerife","La Palma",11,3,0
"321","06/04/2020","Santa Cruz de Tenerife","El Hierro",2,0,0
"322","06/04/2020","Santa Cruz de Tenerife","La Gomera",3,0,0
"323","06/05/2020","Santa Cruz de Tenerife","Tenerife",103,14,0
"324","06/05/2020","Las Palmas","Gran Canaria",14,7,0
"325","06/05/2020","Las Palmas","Fuerteventura",0,1,0
"326","06/05/2020","Las Palmas","Lanzarote",4,2,0
"327","06/05/2020","Santa Cruz de Tenerife","La Palma",5,0,0
"328","06/05/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"329","06/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"330","06/06/2020","Santa Cruz de Tenerife","Tenerife",26,2,0
"331","06/06/2020","Las Palmas","Gran Canaria",3,1,0
"332","06/06/2020","Las Palmas","Fuerteventura",0,0,0
"333","06/06/2020","Las Palmas","Lanzarote",2,0,0
"334","06/06/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"335","06/06/2020","Santa Cruz de Tenerife","El Hierro",2,0,0
"336","06/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"337","06/07/2020","Santa Cruz de Tenerife","Tenerife",14,1,0
"338","06/07/2020","Las Palmas","Gran Canaria",0,1,0
"339","06/07/2020","Las Palmas","Fuerteventura",0,0,0
"340","06/07/2020","Las Palmas","Lanzarote",0,0,0
"341","06/07/2020","Santa Cruz de Tenerife","La Palma",2,0,0
"342","06/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"343","06/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"344","06/08/2020","Santa Cruz de Tenerife","Tenerife",24,2,0
"345","06/08/2020","Las Palmas","Gran Canaria",6,0,0
"346","06/08/2020","Las Palmas","Fuerteventura",0,0,0
"347","06/08/2020","Las Palmas","Lanzarote",0,0,0
"348","06/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"349","06/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"350","06/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"351","06/09/2020","Santa Cruz de Tenerife","Tenerife",37,13,0
"352","06/09/2020","Las Palmas","Gran Canaria",146,31,0
"353","06/09/2020","Las Palmas","Fuerteventura",5,2,0
"354","06/09/2020","Las Palmas","Lanzarote",16,1,0
"355","06/09/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"356","06/09/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"357","06/09/2020","Santa Cruz de Tenerife","La Gomera",2,0,0
"358","06/10/2020","Santa Cruz de Tenerife","Tenerife",88,25,0
"359","06/10/2020","Las Palmas","Gran Canaria",112,36,0
"360","06/10/2020","Las Palmas","Fuerteventura",3,2,0
"361","06/10/2020","Las Palmas","Lanzarote",3,2,0
"362","06/10/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"363","06/10/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"364","06/10/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"365","06/11/2020","Santa Cruz de Tenerife","Tenerife",120,29,0
"366","06/11/2020","Las Palmas","Gran Canaria",40,21,0
"367","06/11/2020","Las Palmas","Fuerteventura",2,0,0
"368","06/11/2020","Las Palmas","Lanzarote",0,0,0
"369","06/11/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"370","06/11/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"371","06/11/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"372","06/12/2020","Santa Cruz de Tenerife","Tenerife",141,29,0
"373","06/12/2020","Las Palmas","Gran Canaria",50,17,1
"374","06/12/2020","Las Palmas","Fuerteventura",0,0,0
"375","06/12/2020","Las Palmas","Lanzarote",8,0,0
"376","06/12/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"377","06/12/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"378","06/12/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"379","07/04/2020","Santa Cruz de Tenerife","Tenerife",44,0,0
"380","07/04/2020","Las Palmas","Gran Canaria",130,40,0
"381","07/04/2020","Las Palmas","Fuerteventura",31,18,0
"382","07/04/2020","Las Palmas","Lanzarote",31,22,0
"383","07/04/2020","Santa Cruz de Tenerife","La Palma",136,22,0
"384","07/04/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"385","07/04/2020","Santa Cruz de Tenerife","La Gomera",1,0,0
"386","07/05/2020","Santa Cruz de Tenerife","Tenerife",98,10,0
"387","07/05/2020","Las Palmas","Gran Canaria",7,7,0
"388","07/05/2020","Las Palmas","Fuerteventura",0,1,0
"389","07/05/2020","Las Palmas","Lanzarote",3,2,0
"390","07/05/2020","Santa Cruz de Tenerife","La Palma",6,0,0
"391","07/05/2020","Santa Cruz de Tenerife","El Hierro",1,0,0
"392","07/05/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"393","07/06/2020","Santa Cruz de Tenerife","Tenerife",30,2,0
"394","07/06/2020","Las Palmas","Gran Canaria",3,1,0
"395","07/06/2020","Las Palmas","Fuerteventura",0,0,0
"396","07/06/2020","Las Palmas","Lanzarote",2,0,0
"397","07/06/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"398","07/06/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"399","07/06/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"400","07/07/2020","Santa Cruz de Tenerife","Tenerife",16,0,0
"401","07/07/2020","Las Palmas","Gran Canaria",1,1,0
"402","07/07/2020","Las Palmas","Fuerteventura",0,0,0
"403","07/07/2020","Las Palmas","Lanzarote",0,0,0
"404","07/07/2020","Santa Cruz de Tenerife","La Palma",1,0,0
"405","07/07/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"406","07/07/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
"407","07/08/2020","Santa Cruz de Tenerife","Tenerife",29,2,0
"408","07/08/2020","Las Palmas","Gran Canaria",5,0,0
"409","07/08/2020","Las Palmas","Fuerteventura",1,0,0
"410","07/08/2020","Las Palmas","Lanzarote",0,0,0
"411","07/08/2020","Santa Cruz de Tenerife","La Palma",0,0,0
"412","07/08/2020","Santa Cruz de Tenerife","El Hierro",0,0,0
"413","07/08/2020","Santa Cruz de Tenerife","La Gomera",0,0,0
